,Date,Open,High,Low,Close,Adj Close,Volume,MA50,MA200,Previous day close price,Change in price,Percent change in price,Previous day volume,Change in volume,Percent change in volume
0,2019-05-01,45.7775,46.202499,45.115002,45.1175,44.811089,35428000,,,,,,,,
1,2019-05-02,45.215,46.217499,44.779999,45.797501,45.486465,39468400,,,45.1175,0.6800009999999972,0.015071779243087446,35428000.0,4040400.0,0.11404538782883589
2,2019-05-03,45.8825,45.982498,45.1325,45.752499,45.441769,33682400,,,45.797501,-0.045001999999996656,-0.000982630034769727,39468400.0,-5786000.0,-0.1465982912912609
3,2019-05-06,43.875,45.084999,43.5,44.962502,44.657143,42217600,,,45.752499,-0.7899969999999996,-0.017266750828189736,33682400.0,8535200.0,0.25340237037740776
4,2019-05-07,44.474998,44.474998,42.7925,43.2775,42.983578,55522000,,,44.962502,-1.6850019999999972,-0.03747571698745766,42217600.0,13304400.0,0.3151387099219283
5,2019-05-08,43.0,44.287498,42.880001,43.48,43.184696,41916800,,,43.2775,0.20249999999999346,0.00467910577089703,55522000.0,-13605200.0,-0.24504160512949824
6,2019-05-09,42.785,42.8825,41.349998,42.547501,42.258541,66024800,,,43.48,-0.932499,-0.0214466191352346,41916800.0,24108000.0,0.5751393236124895
7,2019-05-10,42.237499,42.897499,41.0,42.205002,41.918369,56950000,,,42.547501,-0.34249899999999656,-0.008049802971977105,66024800.0,-9074800.0,-0.13744532357538375
8,2019-05-13,40.875,41.107498,39.452499,39.612499,39.343472,65691200,,,42.205002,-2.5925030000000007,-0.061426439453788007,56950000.0,8741200.0,0.15348902546093068
9,2019-05-14,40.012501,40.865002,39.622501,40.509998,40.234882,52488000,,,39.612499,0.8974990000000034,0.02265696491402891,65691200.0,-13203200.0,-0.2009888691331564
10,2019-05-15,39.950001,40.262501,39.352501,39.895,39.624046,50232000,,,40.509998,-0.6149979999999999,-0.015181388061287993,52488000.0,-2256000.0,-0.04298125285779608
11,2019-05-16,39.84,40.477501,39.412498,40.047501,39.775513,78108800,,,39.895,0.15250099999999378,0.0038225592179470524,50232000.0,27876800.0,0.5549609810479377
12,2019-05-17,39.625,40.927502,38.735001,39.1325,38.86673,102206800,,,40.047501,-0.9150009999999966,-0.022847892556391858,78108800.0,24098000.0,0.3085183743701094
13,2019-05-20,38.137501,38.692501,37.6875,37.9375,37.679852,57206400,,,39.1325,-1.1950000000000003,-0.030537277199258916,102206800.0,-45000400.0,-0.440287730366277
14,2019-05-21,38.549999,38.924999,38.16,38.764999,38.501736,36184800,,,37.9375,0.8274990000000031,0.021812164744645868,57206400.0,-21021600.0,-0.3674693740560496
15,2019-05-22,38.375,38.637501,37.939999,38.049999,37.79158,32586800,,,38.764999,-0.7150000000000034,-0.01844447358298662,36184800.0,-3598000.0,-0.09943401649311312
16,2019-05-23,37.422501,37.422501,36.227501,36.830002,36.579876,59184400,,,38.049999,-1.2199969999999993,-0.032062996900472984,32586800.0,26597600.0,0.8162077896571618
17,2019-05-24,37.02,37.375,36.220001,36.287498,36.041061,35758400,,,36.830002,-0.542504000000001,-0.014729947611732408,59184400.0,-23426000.0,-0.3958137617345111
18,2019-05-28,36.465,36.794998,35.8125,35.8325,35.589146,42835600,,,36.287498,-0.45499799999999624,-0.012538698589800723,35758400.0,7077200.0,0.1979171327576177
19,2019-05-29,35.352501,35.705002,34.735001,35.084999,34.846718,55980000,,,35.8325,-0.7475009999999997,-0.02086097816228283,42835600.0,13144400.0,0.3068569134084733
20,2019-05-30,35.077499,35.4375,34.392502,34.7775,34.580742,39430000,,,35.084999,-0.30749899999999997,-0.008764400990862176,55980000.0,-16550000.0,-0.2956413004644516
21,2019-05-31,34.285,34.962502,33.8475,33.865002,33.673389,38972000,,,34.7775,-0.9124980000000065,-0.02623817123139982,39430000.0,-458000.0,-0.011615521176769006
22,2019-06-03,33.977501,34.3675,33.150002,33.445,33.255779,47864400,,,33.865002,-0.42000199999999666,-0.012402243472479202,38972000.0,8892400.0,0.22817407369393417
23,2019-06-04,34.09,35.802502,33.8675,35.75,35.547729,64183600,,,33.445,2.3049999999999997,0.06891912094483477,47864400.0,16319200.0,0.3409465072162192
24,2019-06-05,36.4925,36.547501,34.955002,35.32,35.120171,51161600,,,35.75,-0.4299999999999997,-0.012027972027972011,64183600.0,-13022000.0,-0.20288671872565578
25,2019-06-06,35.362499,36.192501,35.337502,35.945,35.741623,40814000,,,35.32,0.625,0.017695356738391954,51161600.0,-10347600.0,-0.20225325243932946
26,2019-06-07,36.005001,36.720001,35.8125,36.375,36.169197,34885600,,,35.945,0.4299999999999997,0.011962720823480266,40814000.0,-5928400.0,-0.14525407948253055
27,2019-06-10,36.939999,37.797501,36.939999,37.107498,36.897552,40278000,,,36.375,0.7324979999999996,0.020137402061855658,34885600.0,5392400.0,0.1545738069575986
28,2019-06-11,37.709999,38.09,37.290001,37.6875,37.474277,38387200,,,37.107498,0.5800020000000004,0.015630318163730728,40278000.0,-1890800.0,-0.04694374100004961
29,2019-06-12,37.25,37.3125,36.397499,36.549999,36.343201,35889200,,,37.6875,-1.1375010000000003,-0.030182447761194053,38387200.0,-2498000.0,-0.06507377459153052
30,2019-06-13,36.772499,37.25,36.595001,37.064999,36.855293,30808000,,,36.549999,0.5150000000000006,0.014090287663208967,35889200.0,-5081200.0,-0.14158019682801515
31,2019-06-14,36.127499,36.372501,35.709999,36.16,35.955421,39442800,,,37.064999,-0.9049990000000037,-0.02441653917217168,30808000.0,8634800.0,0.28027784990911453
32,2019-06-17,36.142502,36.630001,35.912498,36.2575,36.052361,27604000,,,36.16,0.0975000000000037,0.002696349557522293,39442800.0,-11838800.0,-0.3001511048911335
33,2019-06-18,36.875,38.7775,36.764999,38.220001,38.003754,58192000,,,36.2575,1.9625010000000032,0.05412675998069383,27604000.0,30588000.0,1.1081002753224172
34,2019-06-19,38.575001,38.689999,38.017502,38.279999,38.063408,33164400,,,38.220001,0.05999799999999311,0.0015698063430189535,58192000.0,-25027600.0,-0.4300866098432774
35,2019-06-20,39.192501,39.3325,38.380001,38.525002,38.30703,35016800,,,38.279999,0.24500300000000408,0.006400287523518511,33164400.0,1852400.0,0.05585507351256158
36,2019-06-21,38.375,38.869999,37.875,37.939999,37.725338,43442800,,,38.525002,-0.5850030000000004,-0.0151850219242039,35016800.0,8426000.0,0.24062735601197138
37,2019-06-24,38.154999,38.462502,37.68,38.165001,37.949074,28294800,,,37.939999,0.22500199999999637,0.005930469318146114,43442800.0,-15148000.0,-0.3486883902510888
38,2019-06-25,38.215,38.970001,37.842499,37.869999,37.655739,31186800,,,38.165001,-0.29500199999999666,-0.007729647380331439,28294800.0,2892000.0,0.10220959328215784
39,2019-06-26,39.1525,40.43,39.022499,39.814999,39.589729,58407200,,,37.869999,1.9450000000000003,0.051359916856612564,31186800.0,27220400.0,0.8728179870971051
