,Date,Open,High,Low,Close,Adj Close,Volume,MA50,MA200,Previous day close price,Change in price,Percent change in price,Previous day volume,Change in volume,Percent change in volume
18,2019-05-28,12.746667,13.0,12.523333,12.58,12.58,154693500,,,12.708667,-0.1286670000000001,-0.010124350571149576,212049000.0,-57355500.0,-0.270482294186721
19,2019-05-29,12.473333,12.826,12.336,12.657333,12.657333,179529000,,,12.58,0.07733299999999943,0.006147297297297349,154693500.0,24835500.0,0.16054650001454496
20,2019-05-30,12.583333,12.817333,12.468,12.548,12.548,118897500,,,12.657333,-0.10933299999999946,-0.008637917640311743,179529000.0,-60631500.0,-0.33772538141470176
21,2019-05-31,12.34,12.661333,12.273333,12.344,12.344,156100500,,,12.548,-0.20400000000000063,-0.01625757092763791,118897500.0,37203000.0,0.31289976660568986
22,2019-06-03,12.367333,12.445333,11.799333,11.931333,11.931333,195966000,,,12.344,-0.412666999999999,-0.03343057355800383,156100500.0,39865500.0,0.25538355098157917
23,2019-06-04,12.073333,12.932,11.974,12.906667,12.906667,207112500,,,11.931333,0.9753340000000001,0.0817456021049785,195966000.0,11146500.0,0.05687976485716906
24,2019-06-05,13.245333,13.418667,12.79,13.106,13.106,202662000,,,12.906667,0.19933299999999932,0.015444188650718171,207112500.0,-4450500.0,-0.021488321564367197
25,2019-06-06,13.629333,14.066667,13.453333,13.73,13.73,303633000,,,13.106,0.6240000000000006,0.04761178086372664,202662000.0,100971000.0,0.4982236433075762
26,2019-06-07,13.666667,14.056,13.566667,13.633333,13.633333,240052500,,,13.73,-0.09666700000000006,-0.007040568099053179,303633000.0,-63580500.0,-0.20939917597889557
27,2019-06-10,14.016667,14.462667,13.934,14.192,14.192,158775000,,,13.633333,0.5586669999999998,0.04097802056180977,240052500.0,-81277500.0,-0.3385821851469991
28,2019-06-11,14.609333,14.726667,14.233333,14.473333,14.473333,174802500,,,14.192,0.28133300000000006,0.019823351183765547,158775000.0,16027500.0,0.10094473311289565
29,2019-06-12,14.863333,14.892,13.933333,13.950667,13.950667,227962500,,,14.473333,-0.522666000000001,-0.03611234537338437,174802500.0,53160000.0,0.30411464366928387
30,2019-06-13,14.025333,14.326667,13.834,14.260667,14.260667,122524500,,,13.950667,0.3100000000000005,0.022221159748132546,227962500.0,-105438000.0,-0.46252344135548606
31,2019-06-14,14.083333,14.443333,14.026667,14.328,14.328,111501000,,,14.260667,0.06733299999999964,0.0047215884081719395,122524500.0,-11023500.0,-0.08996976114981081
32,2019-06-17,14.365333,15.133333,14.284667,15.002,15.002,184752000,,,14.328,0.6740000000000013,0.04704075935231722,111501000.0,73251000.0,0.6569537492937283
33,2019-06-18,15.248,15.649333,14.837333,14.982667,14.982667,190737000,,,15.002,-0.019333000000001377,-0.0012886948406880538,184752000.0,5985000.0,0.032394777864380275
34,2019-06-19,15.007333,15.184667,14.737333,15.095333,15.095333,98626500,,,14.982667,0.11266600000000082,0.007519755995377908,190737000.0,-92110500.0,-0.48291888831217855
35,2019-06-20,14.866667,15.126667,14.423333,14.641333,14.641333,177952500,,,15.095333,-0.4540000000000006,-0.030075520692388835,98626500.0,79326000.0,0.8043071588264816
36,2019-06-21,14.414667,14.812,14.366667,14.790667,14.790667,123031500,,,14.641333,0.14933399999999963,0.010199481153799317,177952500.0,-54921000.0,-0.3086273022295275
37,2019-06-24,14.882667,15.057333,14.734667,14.909333,14.909333,86262000,,,14.790667,0.11866600000000105,0.00802303236223234,123031500.0,-36769500.0,-0.29886248643640045
38,2019-06-25,14.959333,15.022667,14.632667,14.650667,14.650667,92731500,,,14.909333,-0.25866599999999984,-0.01734926706647444,86262000.0,6469500.0,0.07499826111149743
39,2019-06-26,14.687333,15.148667,14.54,14.618,14.618,127608000,,,14.650667,-0.032667,-0.002229727834234474,92731500.0,34876500.0,0.37610197182187277
40,2019-06-27,14.63,14.86,14.49,14.856,14.856,95095500,,,14.618,0.23799999999999955,0.016281297031057518,127608000.0,-32512500.0,-0.25478418280985515
41,2019-06-28,14.732667,15.011333,14.72,14.897333,14.897333,102771000,,,14.856,0.04133299999999984,0.002782242864835638,95095500.0,7675500.0,0.08071359843525716
42,2019-07-01,15.347333,15.54,15.085333,15.144667,15.144667,123201000,,,14.897333,0.2473340000000004,0.01660256906387203,102771000.0,20430000.0,0.19879148787109213
43,2019-07-02,15.259333,15.276667,14.814667,14.97,14.97,138885000,,,15.144667,-0.17466699999999946,-0.011533234768384082,123201000.0,15684000.0,0.1273041614921957
44,2019-07-03,15.959333,16.104668,15.634,15.66,15.66,213016500,,,14.97,0.6899999999999995,0.04609218436873741,138885000.0,74131500.0,0.5337617453288692
45,2019-07-05,15.638,15.696667,15.386667,15.54,15.54,105985500,,,15.66,-0.120000000000001,-0.00766283524904221,213016500.0,-107031000.0,-0.5024540352507905
